EXT ; OPC ; ASM             ; MEGA65 ; REF ; COMPARISON
$00 ; $C8 ; INY             ;   1 ;   1 ; OK
$00 ; $CB ; ASW  $nnnn      ;   9 ;   9 ; OK
$00 ; $D0 ; BNE  $rr        ;   2 ;   2 ; OK
$01 ; $D0 ; BNE  $rr        ;   4 ;   4 ; OK
$00 ; $D8 ; CLD             ;   1 ;   1 ; OK
$00 ; $DA ; PHX             ;   3 ;   3 ; OK
$00 ; $DB ; PHZ             ;   3 ;   3 ; OK
$00 ; $E2 ; LDA  ($nn,SP),Y ;  58 ;   8 ; MISMATCH
$00 ; $E3 ; INW  $nn        ;   8 ;   8 ; OK
$00 ; $E6 ; INC  $nn        ;   6 ;   6 ; OK
$03 ; $E6 ; INQ  $nn        ;  17 ;  17 ; OK
$00 ; $EA ; NOP             ;   1 ;   1 ; OK
$00 ; $EB ; ROW  $nnnn      ;   9 ;   9 ; OK
$00 ; $F0 ; BEQ  $rr        ;   2 ;   2 ; OK
$01 ; $F0 ; BEQ  $rr        ;   4 ;   4 ; OK
$00 ; $F4 ; PHW  #$nnnn     ;   6 ;   6 ; OK
$00 ; $FA ; PLX             ;   4 ;   4 ; OK
$00 ; $FB ; PLZ             ;   4 ;   4 ; OK
$00 ; $FC ; PHW  $nnnn      ;   9 ;   9 ; OK
