EXT ; OPC ; ASM            ; XEMU
$01 ; $6F ; BBR6 $nn,$rr   ;   5
$00 ; $77 ; RMB7 $nn       ;   4
$00 ; $78 ; SEI            ;   2
$00 ; $79 ; ADC  $nnnn,Y   ;   4
$00 ; $7A ; PLY            ;   3
$00 ; $7B ; TBA            ;   1
$00 ; $7C ; JMP  ($nnnn,X) ;   5
$00 ; $7F ; BBR7 $nn,$rr   ;   4
$01 ; $7F ; BBR7 $nn,$rr   ;   5
$00 ; $80 ; BRA  $rr       ;   3
$00 ; $83 ; BRA  $rrrr     ;   4
$00 ; $84 ; STY  $nn       ;   3
$00 ; $85 ; STA  $nn       ;   3
$03 ; $85 ; STQ  $nn       ;  10
$00 ; $86 ; STX  $nn       ;   3
$00 ; $87 ; SMB0 $nn       ;   4
$00 ; $88 ; DEY            ;   1
$00 ; $89 ; BIT  #$nn      ;   2
$00 ; $8A ; TXA            ;   1
$00 ; $8B ; STY  $nnnn,X   ;   4
$00 ; $8C ; STY  $nnnn     ;   4
$00 ; $8D ; STA  $nnnn     ;   4
$03 ; $8D ; STQ  $nnnn     ;  11
$00 ; $8E ; STX  $nnnn     ;   4
$00 ; $8F ; BBS0 $nn,$rr   ;   4
$01 ; $8F ; BBS0 $nn,$rr   ;   5
$00 ; $97 ; SMB1 $nn       ;   4
$00 ; $98 ; TYA            ;   1
$00 ; $99 ; STA  $nnnn,Y   ;   4
$00 ; $9A ; TXS            ;   1
$00 ; $9B ; STX  $nnnn,Y   ;   4
$00 ; $9C ; STZ  $nnnn     ;   4
$00 ; $9D ; STA  $nnnn,X   ;   4
$00 ; $9E ; STZ  $nnnn,X   ;   4
$00 ; $9F ; BBS1 $nn,$rr   ;   4
$01 ; $9F ; BBS1 $nn,$rr   ;   5
$00 ; $A0 ; LDY  #$nn      ;   2
$00 ; $A2 ; LDX  #$nn      ;   2
$00 ; $A3 ; LDZ  #$nn      ;   2
$00 ; $A4 ; LDY  $nn       ;   3
$00 ; $A5 ; LDA  $nn       ;   3
$03 ; $A5 ; LDQ  $nn       ;  11
$00 ; $A6 ; LDX  $nn       ;   3
$00 ; $A7 ; SMB2 $nn       ;   4
$00 ; $A8 ; TAY            ;   1
$00 ; $A9 ; LDA  #$nn      ;   2
$00 ; $AA ; TAX            ;   1
$00 ; $AB ; LDZ  $nnnn     ;   4
$00 ; $AC ; LDY  $nnnn     ;   4
$00 ; $AD ; LDA  $nnnn     ;   4
$03 ; $AD ; LDQ  $nnnn     ;  12
$00 ; $AE ; LDX  $nnnn     ;   4
$00 ; $AF ; BBS2 $nn,$rr   ;   4
$01 ; $AF ; BBS2 $nn,$rr   ;   5
$00 ; $B4 ; LDY  $nn,X     ;   3
$00 ; $B5 ; LDA  $nn,X     ;   3
$00 ; $B6 ; LDX  $nn,Y     ;   3
$00 ; $B7 ; SMB3 $nn       ;   4
$00 ; $B8 ; CLV            ;   1
$00 ; $B9 ; LDA  $nnnn,Y   ;   4
$00 ; $BA ; TSX            ;   1
$00 ; $BB ; LDZ  $nnnn,X   ;   4
$00 ; $BC ; LDY  $nnnn,X   ;   4
$00 ; $BD ; LDA  $nnnn,X   ;   4
$00 ; $BE ; LDX  $nnnn,Y   ;   4
$00 ; $BF ; BBS3 $nn,$rr   ;   4
$01 ; $BF ; BBS3 $nn,$rr   ;   5
$00 ; $C0 ; CPY  #$nn      ;   2
$00 ; $C2 ; CPZ  #$nn      ;   2
