EXT ; OPC ; ASM             ; MEGA65 ; XEMU ; COMPARISON
$00 ; $37 ; RMB3 $nn        ;   6 ;   4 ; MISMATCH
$00 ; $38 ; SEC             ;   1 ;   1 ; OK
$00 ; $39 ; AND  $nnnn,Y    ;   5 ;   4 ; MISMATCH
$00 ; $3A ; DEA             ;   1 ;   1 ; OK
$03 ; $3A ; DEQ             ;   4 ;   5 ; MISMATCH
$00 ; $3B ; DEZ             ;   1 ;   1 ; OK
$00 ; $3C ; BIT  $nnnn,X    ;   5 ;   5 ; OK
$00 ; $3D ; AND  $nnnn,X    ;   5 ;   4 ; MISMATCH
$00 ; $3E ; ROL  $nnnn,X    ;   7 ;   5 ; MISMATCH
$03 ; $3E ; ROLQ $nnnn,X    ;  18 ;   9 ; MISMATCH
$00 ; $3F ; BBR3 $nn,$rr    ;   5 ;   4 ; MISMATCH
$01 ; $3F ; BBR3 $nn,$rr    ;   6 ;   5 ; MISMATCH
$00 ; $40 ; RTI             ;  15 ;  12 ; MISMATCH
$00 ; $41 ; EOR  ($nn,X)    ;   7 ;   5 ; MISMATCH
$00 ; $42 ; NEG             ;   1 ;   2 ; MISMATCH
$03 ; $42 ; NEGQ            ;   3 ;   6 ; MISMATCH
$00 ; $43 ; ASR             ;   1 ;   2 ; MISMATCH
$03 ; $43 ; ASRQ            ;   4 ;   5 ; MISMATCH
$00 ; $44 ; ASR  $nn        ;   6 ;   4 ; MISMATCH
$03 ; $44 ; ASRQ $nn        ;  17 ;   8 ; MISMATCH
$00 ; $45 ; EOR  $nn        ;   4 ;   3 ; MISMATCH
$03 ; $45 ; EORQ $nn        ;  11 ;  11 ; OK
$00 ; $46 ; LSR  $nn        ;   6 ;   4 ; MISMATCH
$03 ; $46 ; LSRQ $nn        ;  17 ;   8 ; MISMATCH
$00 ; $47 ; RMB4 $nn        ;   6 ;   4 ; MISMATCH
$00 ; $48 ; PHA             ;   3 ;   3 ; OK
$00 ; $49 ; EOR  #$nn       ;   2 ;   2 ; OK
$00 ; $4A ; LSR  A          ;   1 ;   1 ; OK
$03 ; $4A ; LSRQ Q          ;   4 ;   5 ; MISMATCH
$00 ; $4B ; TAZ             ;   1 ;   1 ; OK
$00 ; $4C ; JMP  $nnnn      ;   5 ;   3 ; MISMATCH
$00 ; $4D ; EOR  $nnnn      ;   5 ;   4 ; MISMATCH
$03 ; $4D ; EORQ $nnnn      ;  12 ;  12 ; OK
$00 ; $4E ; LSR  $nnnn      ;   7 ;   5 ; MISMATCH
$03 ; $4E ; LSRQ $nnnn      ;  18 ;   9 ; MISMATCH
$00 ; $4F ; BBR4 $nn,$rr    ;   5 ;   4 ; MISMATCH
$01 ; $4F ; BBR4 $nn,$rr    ;   6 ;   5 ; MISMATCH
$00 ; $50 ; BVC  $rr        ;   2 ;   2 ; OK
$01 ; $50 ; BVC  $rr        ;   4 ;   3 ; MISMATCH
$00 ; $51 ; EOR  ($nn),Y    ;   7 ;   5 ; MISMATCH
$00 ; $52 ; EOR  ($nn),Z    ;   7 ;   5 ; MISMATCH
